11,	1,	[611],	[[611, 5]]
17015,	1,	[2832],	[[748]]
18,	1,	[2832],	[[770]]
18308,	1,	[2832],	[[750]]
1863,	1,	[2832],	[[754]]
1864,	1,	[2832],	[[759]]
1873,	1,	[7801],	[[1]]
1877,	1,	[7801],	[[2]]
2,	2,	[2832, 3088],	[[312, 564], [7]]
30,	1,	[3270],	[[1]]
36,	1,	[2832],	[[775]]
5,	1,	[2832],	[[752]]
6,	1,	[2903],	[[29]]
6лизкий,	1,	[6996],	[[18]]
7,	1,	[2832],	[[757]]
99,	1,	[3984],	[[15]]
a,	1,	[5216],	[[1]]
aber,	1,	[444],	[[19]]
alexandre,	3,	[681, 1243, 5361],	[[4], [1, 2], [4]]
aline,	2,	[2283, 2362],	[[191, 223], [23]]
all,	2,	[1898, 1990],	[[1], [1]]
allons,	1,	[5568],	[[1]]
alphonse,	1,	[7717],	[[9]]
anne,	1,	[5989],	[[136]]
arbeitscur,	1,	[2627],	[[18]]
au,	1,	[6079],	[[23]]
begier,	1,	[444],	[[18]]
berthe,	3,	[2274, 2310, 2312],	[[12], [22], [12]]
bonne,	2,	[2004, 5538],	[[14], [1]]
c,	3,	[4821, 5940, 7037],	[[1], [1], [1]]
ca,	2,	[4959, 5639],	[[31], [8]]
canut,	1,	[2177],	[[103]]
ce,	2,	[5538, 5922],	[[5], [157]]
cela,	3,	[3021, 5984, 6674],	[[70], [142], [24]]
cessez,	1,	[6021],	[[1]]
charmante,	1,	[5641],	[[8, 12]]
chateau,	2,	[609, 3638],	[[19], [102]]
comtesse,	1,	[4798],	[[3]]
das,	1,	[6019],	[[20]]
daudet,	1,	[6658],	[[27]]
delicieux,	1,	[5585],	[[18]]
der,	1,	[6019],	[[5]]
ding,	1,	[6017],	[[10]]
dochots,	1,	[6020],	[[3]]
draht,	1,	[6019],	[[8]]
du,	1,	[6050],	[[73]]
duc,	1,	[1145],	[[4]]
elle,	2,	[5151, 5909],	[[18], [50]]
elliot,	1,	[5742],	[[24]]
entrez,	1,	[5690],	[[1]]
erlaucht,	1,	[6019],	[[24]]
es,	2,	[6017, 6019],	[[5], [1]]
et,	2,	[5786, 5882],	[[4], [1]]
figurez,	1,	[5742],	[[32]]
happy,	1,	[7023],	[[6]]
hatt,	1,	[444],	[[25]]
himmlisch,	1,	[444],	[[10]]
honni,	1,	[620],	[[1]]
i,	9,	[4, 1128, 1184, 2433, 3355, 4195, 5177, 6381, 7340],	[[1], [73], [1], [1], [1], [1], [1], [1], [1]]
ii,	8,	[20, 1219, 2443, 3363, 4237, 5201, 6397, 7366],	[[1], [1], [1], [1], [1], [1], [1], [1]]
iii,	8,	[58, 1256, 2462, 3375, 4294, 5273, 6449, 7405],	[[1], [1], [1], [1], [1], [1], [1], [1]]
iv,	8,	[90, 1291, 2524, 3441, 4314, 5321, 6477, 7425],	[[1], [1], [1], [1], [1], [1], [1], [1]]
ix,	8,	[270, 1493, 2692, 3635, 4453, 5504, 6619, 7516],	[[1], [1], [1], [1], [1], [1], [1], [1]]
il,	7,	[8, 2287, 3437, 4816, 5750, 5918, 5989],	[[45, 50], [1], [11], [3], [39], [297], [126]]
ils,	1,	[5585],	[[5]]
is,	1,	[5388],	[[1]]
j,	2,	[4762, 6020],	[[1], [15]]
je,	2,	[6674, 7295],	[[9], [268]]
journal,	1,	[6484],	[[23]]
jules,	1,	[6968],	[[5, 9]]
karenine,	1,	[5151],	[[11]]
karr,	1,	[7717],	[[10]]
klopot,	1,	[6019],	[[61]]
klopots,	1,	[6020],	[[8]]
kurliste,	1,	[2182],	[[73]]
landau,	16,	[6964, 6966, 6967, 6968, 6970, 6978, 6979, 6981, 6990, 7002, 7011, 7025, 7026, 7029, 7030, 7031],	[[54], [12], [3, 7], [6, 10, 35, 74], [6, 34, 57], [2], [1], [8], [22], [4], [1], [10], [9], [74], [98], [26, 58]]
le,	2,	[5158, 5599],	[[4], [41]]
les,	1,	[6988],	[[11]]
lille,	1,	[1145],	[[6]]
linon,	8,	[214, 296, 310, 316, 3881, 3884, 3921, 3922],	[[215], [20], [31], [14], [8, 34, 48], [67, 69], [6], [8]]
louis,	1,	[1354],	[[9]]
lогd,	1,	[1893],	[[17]]
m,	4,	[2177, 2179, 2198, 2312],	[[102], [1], [1], [2]]
madame,	2,	[4798, 5140],	[[1], [15]]
mademoiselle,	2,	[3881, 3884],	[[47], [68]]
mais,	5,	[5783, 5884, 5918, 5938, 6044],	[[27, 35], [1], [68], [10], [15]]
maman,	8,	[1230, 1254, 2317, 2386, 3729, 5152, 5368, 5384],	[[1], [1], [1], [1], [10], [1], [13], [1]]
marie,	3,	[681, 5325, 5348],	[[9], [67], [19]]
mariette,	3,	[1102, 2857, 3967],	[[3], [4], [76]]
meine,	1,	[444],	[[16]]
messieurs,	1,	[5641],	[[1]]
mon,	1,	[7032],	[[1]]
monsieur,	1,	[6978],	[[1]]
n,	1,	[6094],	[[1]]
n28,	1,	[1072],	[[93]]
nn,	1,	[2832],	[[747]]
not,	1,	[6331],	[[1]]
o,	2,	[6017, 6183],	[[1], [1]]
on,	3,	[5151, 5788, 5922],	[[21], [9], [101]]
pardon,	4,	[857, 869, 5883, 7017],	[[14], [1], [1], [24]]
pattie,	1,	[5151],	[[24]]
petersbourg,	2,	[6484, 7439],	[[26], [37]]
plaisir,	1,	[444],	[[30]]
please,	2,	[2666, 6663],	[[96], [1]]
poesie,	1,	[1145],	[[7]]
preis,	1,	[6019],	[[6]]
prostration,	1,	[7434],	[[120]]
qu,	3,	[5564, 7034, 7036],	[[1], [15], [1]]
que,	1,	[7034],	[[1]]
quos,	1,	[3939],	[[33]]
