11,	1,	[611]
17015,	1,	[2832]
18,	1,	[2832]
18308,	1,	[2832]
1863,	1,	[2832]
1864,	1,	[2832]
1873,	1,	[7801]
1877,	1,	[7801]
2,	2,	[2832, 3088]
30,	1,	[3270]
36,	1,	[2832]
5,	1,	[2832]
6,	1,	[2903]
6лизкий,	1,	[6996]
7,	1,	[2832]
99,	1,	[3984]
a,	1,	[5216]
aber,	1,	[444]
alexandre,	3,	[681, 1243, 5361]
aline,	2,	[2283, 2362]
all,	2,	[1898, 1990]
allons,	1,	[5568]
alphonse,	1,	[7717]
anne,	1,	[5989]
arbeitscur,	1,	[2627]
au,	1,	[6079]
begier,	1,	[444]
berthe,	3,	[2274, 2310, 2312]
bonne,	2,	[2004, 5538]
c,	3,	[4821, 5940, 7037]
ca,	2,	[4959, 5639]
canut,	1,	[2177]
ce,	2,	[5538, 5922]
cela,	3,	[3021, 5984, 6674]
cessez,	1,	[6021]
charmante,	1,	[5641]
chateau,	2,	[609, 3638]
comtesse,	1,	[4798]
das,	1,	[6019]
daudet,	1,	[6658]
delicieux,	1,	[5585]
der,	1,	[6019]
ding,	1,	[6017]
dochots,	1,	[6020]
draht,	1,	[6019]
du,	1,	[6050]
duc,	1,	[1145]
elle,	2,	[5151, 5909]
elliot,	1,	[5742]
entrez,	1,	[5690]
erlaucht,	1,	[6019]
es,	2,	[6017, 6019]
et,	2,	[5786, 5882]
figurez,	1,	[5742]
happy,	1,	[7023]
hatt,	1,	[444]
himmlisch,	1,	[444]
honni,	1,	[620]
i,	9,	[4, 1128, 1184, 2433, 3355, 4195, 5177, 6381, 7340]
ii,	8,	[20, 1219, 2443, 3363, 4237, 5201, 6397, 7366]
iii,	8,	[58, 1256, 2462, 3375, 4294, 5273, 6449, 7405]
iv,	8,	[90, 1291, 2524, 3441, 4314, 5321, 6477, 7425]
ix,	8,	[270, 1493, 2692, 3635, 4453, 5504, 6619, 7516]
il,	7,	[8, 2287, 3437, 4816, 5750, 5918, 5989]
ils,	1,	[5585]
is,	1,	[5388]
j,	2,	[4762, 6020]
je,	2,	[6674, 7295]
journal,	1,	[6484]
jules,	1,	[6968]
karenine,	1,	[5151]
karr,	1,	[7717]
klopot,	1,	[6019]
klopots,	1,	[6020]
kurliste,	1,	[2182]
landau,	16,	[6964, 6966, 6967, 6968, 6970, 6978, 6979, 6981, 6990, 7002, 7011, 7025, 7026, 7029, 7030, 7031]
le,	2,	[5158, 5599]
les,	1,	[6988]
lille,	1,	[1145]
linon,	8,	[214, 296, 310, 316, 3881, 3884, 3921, 3922]
louis,	1,	[1354]
lогd,	1,	[1893]
m,	4,	[2177, 2179, 2198, 2312]
madame,	2,	[4798, 5140]
mademoiselle,	2,	[3881, 3884]
mais,	5,	[5783, 5884, 5918, 5938, 6044]
maman,	8,	[1230, 1254, 2317, 2386, 3729, 5152, 5368, 5384]
marie,	3,	[681, 5325, 5348]
mariette,	3,	[1102, 2857, 3967]
meine,	1,	[444]
messieurs,	1,	[5641]
mon,	1,	[7032]
monsieur,	1,	[6978]
n,	1,	[6094]
n28,	1,	[1072]
nn,	1,	[2832]
not,	1,	[6331]
o,	2,	[6017, 6183]
on,	3,	[5151, 5788, 5922]
pardon,	4,	[857, 869, 5883, 7017]
pattie,	1,	[5151]
petersbourg,	2,	[6484, 7439]
plaisir,	1,	[444]
please,	2,	[2666, 6663]
poesie,	1,	[1145]
preis,	1,	[6019]
prostration,	1,	[7434]
qu,	3,	[5564, 7034, 7036]
que,	1,	[7034]
quos,	1,	[3939]
revenez,	1,	[7035]
roland,	1,	[22]
s,	1,	[2828]
safe,	1,	[7023]
st,	1,	[6484]
tant,	1,	[666]
the,	1,	[7310]
tiny,	1,	[300]
tout,	2,	[3019, 5922]
un,	1,	[893]
under,	1,	[7023]
une,	2,	[5918, 5924]
v,	8,	[136, 1316, 2576, 3477, 4356, 5327, 6511, 7441]
vi,	8,	[212, 1342, 2608, 3525, 4390, 5359, 6525, 7460]
vii,	8,	[222, 1399, 2648, 3554, 4402, 5404, 6551, 7490]
viii,	8,	[237, 1477, 2660, 3590, 4444, 5468, 6586, 7503]
vos,	1,	[6896]
vous,	4,	[6901, 7022, 7032, 7035]
weibliche,	1,	[6516]
wunscht,	1,	[6020]
x,	8,	[333, 1526, 2719, 3685, 4472, 5540, 6637, 7531]
xi,	8,	[419, 1528, 2773, 3726, 4486, 5583, 6689, 7547]
xii,	8,	[464, 1543, 2789, 3743, 4510, 5647, 6715, 7573]
xiii,	8,	[483, 1548, 2807, 3791, 4524, 5668, 6736, 7599]
xiv,	8,	[505, 1618, 2823, 3832, 4538, 5688, 6765, 7619]
xix,	8,	[720, 1790, 2959, 4009, 4665, 5893, 6909, 7784]
xv,	9,	[579, 1354, 1664, 2833, 3870, 4553, 5737, 6804, 7669]
